description,is_gen_pub,source
Creating the perfect life,1,Bostong Marathon Bombing
So normal,1,Bostong Marathon Bombing
Vonvo is the first real-time video events platform for organizations. Come discuss the subjects that matter over live video! #brandstorytelling #NYCStartup,0,Bostong Marathon Bombing
New England Cable News;,0,Bostong Marathon Bombing
Fan von @v_lifeisnice  2 x Ironman  Boston Marathoner  USAT & Ironman Certified Coach   @Gatorade Endurance Athlete.,1,Bostong Marathon Bombing
Keeping a watchful eye on the preservation of our liberty at home and freedom around the world! #MakeAmericaGreatAgain! #NeverHillary! #CrookedHillary!,1,Bostong Marathon Bombing
Join WeSpeakNews and become a citizen journalist today. [ #WSN - #CitizenJournalism ]   http://t.co/GFByYrBzc5  https://t.co/cQudBiWaA7  social media  digital and direct marketing.,0,Bostong Marathon Bombing
Coaching,0,Bostong Marathon Bombing
Discover what's up through the movement of tweets.,0,Bostong Marathon Bombing
I speak 7 languages. Colombian-American,1,Bostong Marathon Bombing
Psychology Student and no I can't analyze you.......yet,1,Bostong Marathon Bombing
Follow Your Passion:  Triathlon,0,Bostong Marathon Bombing
Englishman in New York. Managing Editor/Foreign Editor @ABC,0,Bostong Marathon Bombing
Hollywood Talent Agent-Turned War Correspondent/Filmmaker,1,Bostong Marathon Bombing
The Greater Fool,1,Bostong Marathon Bombing
Newlywed. Baylor University alum (Sic' Em). Marathon runner. Lover of Jesus. Candy addict. Grad student.,1,Bostong Marathon Bombing
A weekly newspaper providing financial services and real estate news for Mass. #CRE #banking #MArealestate Find us on Facebook: http://t.co/z0yiTAeQZb,0,Bostong Marathon Bombing
Wife & Mother 4 teens I believe the Love of God is our answer to peace and joy!,1,Bostong Marathon Bombing
Helping our 10.5 million members Thrive.Please do not share protected health information.Tweets are not medical advice.Mon-Fri 7am-5pm  @jessmarmor  @slangwise.,0,Bostong Marathon Bombing
Writer  Native American Studies.,1,Bostong Marathon Bombing
Everyone fights their own battle,1,Bostong Marathon Bombing
She who dares,1,Bostong Marathon Bombing
Jay Gildersleeve is talking about current events,1,Bostong Marathon Bombing
A fair and accurate depiction of my unfair and innaccurate thoughts.,1,Bostong Marathon Bombing
http://t.co/XxMgwTUb0Q is the regional web site for The Cape Codder,0,Bostong Marathon Bombing
#employerbranding #internalbranding #brandengagement #brandculture #brandlanguage @RalfTometschek #favzwerg_gedankenriese,0,Bostong Marathon Bombing
Real-Time De-Centralized News-Wire. Please be informed! (Tweet/RT äÊ endorsement) -Chinese Artists Dai Dudu  Natickite  love all areas of nutrition & sports especially women's soccer; my tweets are my own,1,Bostong Marathon Bombing
Official Twitter account of the U.S. Naval War College. (Following,0,Bostong Marathon Bombing
Seattle. 206.583.0382,1,Bostong Marathon Bombing
The nation's only online criminal justice news service--All crime,0,Bostong Marathon Bombing
Sales Rep for Double Eagle Distribution,0,Bostong Marathon Bombing
@Get_Convey CEO,0,Bostong Marathon Bombing
Creator and Host of The Wrestlingus Show. http://t.co/W7rjLdmHLT,1,Bostong Marathon Bombing
President,1,Bostong Marathon Bombing
  Ð_ U ¢ Ñ  Ð_     In the Advanced DE,0,Bostong Marathon Bombing
Conservative. Despise liberals. It's not about free stuff ... it's about FREEDOM #Benghazi #IRSScandal #VAScandal  RUN YOU DOWN & CONVICTION (2017) @CBSNews @Crimesider @Minotaur opinions mine,1,Bostong Marathon Bombing
Writer/Producer/Performer. FEAR  ginger ale  Netflix  and the Oxford comma.,1,Bostong Marathon Bombing
We are Boston's Best Variety. Home to @KarsonKennedy @ErinOnMix,0,Bostong Marathon Bombing
Leader,1,Bostong Marathon Bombing
Be Humble. Be Positive. Stay True.  100% #prolife  #progun  pro #military  Master's RCTheology  ColdWar veteran  Baroque Music nut  #tcot  Trekkie(TOS) ; ëÏëÙëÝë©ë ëÝëÔëÕë¥,1,Bostong Marathon Bombing
#Harlem #Foodie #Culture #Fitness | #Digital #Marketing #Insights #Metrics #Analysis | Educ: BA,1,Bostong Marathon Bombing
Digital marketing strategist,0,Bostong Marathon Bombing
Male,1,Bostong Marathon Bombing
Vonvo is the first real-time video events platform for organizations. Come discuss the subjects that matter over live video! #brandstorytelling #NYCStartup,0,Bostong Marathon Bombing
All t' latest #SouthCarolina #news,0,Bostong Marathon Bombing
Daughter,1,Bostong Marathon Bombing
Vonvo is the first real-time video events platform for organizations. Come discuss the subjects that matter over live video! #brandstorytelling #NYCStartup,0,Bostong Marathon Bombing
Reporter 7 News Australia,0,Bostong Marathon Bombing
