description,is_gen_pub,source
The home of transfer and occupational Business degrees at Mesa Community College! #college #elearning #onlinedegrees #university #highered #mesa,1,Mesa Shooting
20 | CGCC,1,Mesa Shooting
Tech Police Sales Manager,1,Mesa Shooting
2 küle 4 sküle,1,Mesa Shooting
"Tendency to snark, but it comes from a place of love. God bless America. And God bless us, everyone.",1,Mesa Shooting
"Award Winning Bestselling Author, Inv Researcher #TRUECRIME #HeKilledOurJanny #JanyceHansen #Colorado | #UntilSomeoneGetsHurt @DiscoveryID /Member @TheAISOCC",1,Mesa Shooting
"transplant IL to AZ #EIU Grad, Rebird Nation, otherwise lover of all sports Chicago, most importantly the Bears - bleed blue & orange, transfer to my offspring",1,Mesa Shooting
"Devoted Fan of John Mayer, Pedamundo Gal & Loving Life!",1,Mesa Shooting
SHUT UP BAMMMMMMMMM,1,Mesa Shooting
Instaa : Forever_Pauline,1,Mesa Shooting
Cereal Killer / Professional Nerd,1,Mesa Shooting
"Alan, bitch.",1,Mesa Shooting
"Tennis fan, both WTA & ATP, particularly fond of the crazy Czechs and the inconsistent.  Lucie, Petra, Vika, Tomas, Ernie, Nole, Muzz & Grigor.  Oh, & cats.",1,Mesa Shooting
"*AZ Cardinals* *BirdGang* Make me laugh, I dare you.",1,Mesa Shooting
"If you ain't first, you're last.",1,Mesa Shooting
if you were a fruit youd be a fine-apple,1,Mesa Shooting
"Civil Engineer, 87 Michigan Tech Grad, originally from Grand Haven MI",1,Mesa Shooting
"Devoted wife, traveler, foodie and friend. Criminal Justice reporter at @WTEnews. http://t.co/Tqkn8UDdDp. Send tips to szoellick@wyomingnews.com",1,Mesa Shooting
University of Oregon. Jumper/Sprinter. 21. 3xAll-American Duckling.,1,Mesa Shooting
"21. Arizona girl ?? I make cakes, what's your superpower?",1,Mesa Shooting
"Owner of PMP Firearms ,FFL-07 Class III NFA,SOT #NRA, #2A, All Things Firearm Related.",1,Mesa Shooting
Lover to Shelby Whenever She Ain't Acting Up & Handsome Crime Fighter,1,Mesa Shooting
"Average American who loves his country, Dodgers and family.",1,Mesa Shooting
"Public affairs consultant, Wildcat, Tucsonan, Phoenician, Seattleite, craft beer enthusiast and father to Lofa, the Pug. Opinions expressed are my own.",1,Mesa Shooting
"Outspoken Liberal Performer, Educator  and Consultant, lover of Street Tacos, Opera and Politics, trying to change the world!",1,Mesa Shooting
20 | ASU | BME and Medicinal BioChem Major | ASU BioDesign Institute Researcher | AmeriCorps Alumni | Young Republican | Aspiring CEO,1,Mesa Shooting
"Cheesy topics to serious political issues. I lean Left b/c I have connected brain cells. Oh, and I cook too! My opinions are my own & I've never been wrong.",1,Mesa Shooting
beauty is in the eye of the beholder,1,Mesa Shooting
Daughter of @KrisJenner | The K is silent | The official Kelide account ??,1,Mesa Shooting
Happily taken to an amazing guy? i love my family and im loving life.,1,Mesa Shooting
"Redneck! Ham radio, Cocorahs, Wx spotter, SKYWARN, and my weather station  Love my family, dogs, walks. (Goldwater Conservative)   #PJNET",1,Mesa Shooting
"Reporter for @12News in Phoenix, AZ, blogger for @azcentral. Emmy winner. #GoDevils. Have a story idea? Tweet or email me at wpitts@12news.com.",1,Mesa Shooting
"High School History Teacher and Tennis Coach, Happily Married, Father of Three, and a member of the Church of Jesus Christ of Latter-Day Saints.",1,Mesa Shooting
Get the latest headlines from http://t.co/kEhyihg3ZK. Have something to say? Follow @kpho!,1,Mesa Shooting
laters baby,1,Mesa Shooting
The official Scottsdale Police page posting current information on public safety incidents & events in Scottsdale.,1,Mesa Shooting
"Yes, I'm actually 18. Jesus is my life. Bands (mainly @3union) & concerts are a close second. Nancy Drew's up there, too. Owner of @3Ucrew.",1,Mesa Shooting
"Information Security/Penetration Testing Enthusiast, Video Game player, L1 MTG Judge and NY Rangers Fan",1,Mesa Shooting
Doer of life and jotter of things. Award winning journalist. Currently perched at CNN. RT's are in no way an endorsement. ATL-DTW-LAN-LAX-NYC-SPG-CenAmer,1,Mesa Shooting
"nude pics, send me some",1,Mesa Shooting
"Producer, Multimedia Specialist @KNDU-TV Jonathan.Halvorson@kndu.com",1,Mesa Shooting
just dreaming,1,Mesa Shooting
I have often laughed at the weaklings who thought themselves good because they had no claws.  Friedrich Nietzsche,1,Mesa Shooting
1.15.15 gone but not forgotten,1,Mesa Shooting
what the heck,1,Mesa Shooting
:=D,1,Mesa Shooting
this sh*t is bananas,1,Mesa Shooting
"Healthcare Executive, Consultant, Founder @YellowCrossHC #telemedicine #Teleradiology #Telehealth expert",1,Mesa Shooting
"Official Web site of the City of Mesa, Arizona municipality",1,Mesa Shooting
"Lord and Master over at @unleashtherobos. video games, movies, and comics RULE my liffeee.",1,Mesa Shooting
"FOX 10 News Reporter





http://t.co/83bCDGGnjH",1,Mesa Shooting
IG : M_sarahh                                                      D(M)V,1,Mesa Shooting
Real-time Tempe Twitter trends,1,Mesa Shooting
ASU | Walter Cronkite | GMAZ Intern @azfamily | News Director @theblaze1330am |,1,Mesa Shooting
Arizona Iced out Boiz,1,Mesa Shooting
Covering Division I and II HS football in Arizona,1,Mesa Shooting
Varsity Softball #15? | AZ | junior at STFHS | ig @_mikaylashea | got love for the 602,1,Mesa Shooting
Mythmaker and story teller. Philosopher and retired chief petty officer/ proud father and grandpa #CombatVeteran #human #uniteblue #peaceIsMyPath #PatuxentRiver,1,Mesa Shooting
good girls go to heaven and bad girls go everywhere. ig: kaylinpietryga,1,Mesa Shooting
California girl livin' in the desert  Arizona State  Rest in Paradise KB,1,Mesa Shooting
I ? my Atlanta Falcons & USC Trojans ?? #RiseUp #FightOn #Falcons #USC #KobeFan,1,Mesa Shooting
"Fun-loving girl with a diehard passion for life, my career, my family, running and college athletics. Master's candidate at ASU, class of 2015",1,Mesa Shooting
"KGUN #Anchor,5,6 & 10 pm. Optimist, mommy to 2 pups, foodie, fitness lover, #49ers football, #boxing fan. USC alumn. RT's aren't endorsements.",1,Mesa Shooting
"KGUN9 is Southern Arizona's station for breaking news, weather and sports. We are On Your Side to ask the tough questions on issues in our community.",1,Mesa Shooting
Let me not be so vain to think that im the sole author of my victories and a victim of my defeats. -Ze Frank,1,Mesa Shooting
damnit,1,Mesa Shooting
"Connecting #Arizona: #Breaking news in #Phoenix, #Scottsdale, #Mesa and more. 
Call 602-444-1212 or email connect@12news.com with news and photos.",1,Mesa Shooting
Metro/public safety reporter @TucsonStar. Former @CNN intern. RT?endorsements. Email cschmidt@tucson.com,1,Mesa Shooting
"Official Twitter account for Gilbert, Arizona's Human Resources Department. Find the latest #GilbertAZ jobs here. Links and retweets are not endorsements.",1,Mesa Shooting
Where the News comes first.,1,Mesa Shooting
Reporter @TelemundoAZ | Multimedia Journalist | @asu alumna | @nahj member | RUNNER | Ponderer | Optomist,1,Mesa Shooting
"BE the change you want to see in the world. thankful for everyday life. I like ppl, places and things. I love music long time. from the myspace era. ? 93 till",1,Mesa Shooting
Father of 2 awesome boys. #WildcatForLife. Sports PA Announcer. King of social media. I fought the power. I won.    #BearDown,1,Mesa Shooting
"Budding photographer, Marine Veteran, #Banshee extra, mother, student, hopeless romantic, left-handed, etc...",1,Mesa Shooting
"Espionage expert, car spy, photographer, activist, keeper of the teakettles, mom, Volvo PV544 owner, social media influencer & wearer of red hiking boots.",1,Mesa Shooting
"Twitter feed for Gilbert Town Manager, Patrick Banger. 87th largest community in the nation (pop. 236,000) & @Money ranked '22nd Best City to Live In.'",1,Mesa Shooting
Seeennniiiooorrr,1,Mesa Shooting
Be your own anchor?                                                                           And I'm a little lion,1,Mesa Shooting
