description,is_gen_pub,source
News News News Fashion Government Books Television Music Funny Entertainment,0,Quebec Mosque Shooting
Your Center for Jewish Philanthropy and Community Development dedicated to to building and strengthening our Jewish community.,0,Brussel Airport Bombing
The place for in-depth analysis,0,Bostong Marathon Bombing
"mother, grandmother,great grandmother. Disabled. Open,honest and out spoken. Firm believer in equal rights to all. Proud American and Earthling.",1,Quebec Mosque Shooting
"[published astrologer] - I focus on psychology, mythology, philosophy, politics, fashion, music, and the future.",1,Brussel Airport Bombing
"Former acting SecArmy & deputy FEMA director narrative on analyzing threats, managing hazards, countering radicalization & developing leaders",1,Brussel Airport Bombing
FHS ??,1,Mesa Shooting
"Jesus did it all. I now live to serve. Looking for adventures with the love of my life, @elyssaved. Youth Pastor at @IglesiaVida. #December9",1,Mesa Shooting
Trying to elevate small talk to medium talk.,1,Quebec Mosque Shooting
Service Management & Customer Experience Management  Educator,0,Bostong Marathon Bombing
PortugueseAmerican FarRight thinks Im FarLeft and Farleft thinks Im FarRight In the middle Free Speech Absolutist Law Student PuriMeme Aficionado,1,Random Samples
Innovating fashion production with virtual reality and parametric design Building tools with Unity3D and LeapMotion,0,Random Samples
"Planning to travel to Okinawa island Japan
Ill tweet about Okinawan sightseeing info

 You would definitely like to stay in Bougain House located in Ginowan",1,Random Samples
 Saniyahs mom ,1,Random Samples
Hi! We're Decatur-Avondale Estates Patch. Contact us at decatur@patch.com.,0,Brussel Airport Bombing
KINGDOM BUSINESS CoDirector of Abide Nothing but intimacy with my Jesus MY JOURNEY TO CHRIST HERE   httpsmyoutubecomwatchvDZ6qlQcaVmY,1,Random Samples
"Christian, Patriot, Conservative, Loving Faithful Husband, Father Of 3, Pro 2nd Admendment, Anything's Possible With God #THEBLAZE #CRUZCREW BLOCKED BY DRUDGE",1,Brussel Airport Bombing
IPFW 2021  Dental Hygiene INDIANA,1,Random Samples
http://t.co/LeoTah1Nrx is your online hub for all things comedy,0,Bostong Marathon Bombing
This space for rent,1,Random Samples
"Dark skinned  Khosi4Life  
DM for business inquiries 

Brand ambassador of Happiness",1,Random Samples
"1% sugar, 1% spice, 0% nice, 98% Chemical X.",1,Brussel Airport Bombing
"Evan J. Balmer, Esq. Entertainment, Startup, and Family Law Attorney. Founding Partner @BalmerBlack, PC & @Wevorce Associate. NYC & Holmdel, NJ.",0,Brussel Airport Bombing
"Real Estate Broker. Residential, Commercial, Farms, Recreational, Contact via our web site to buy or sell anywhere.",1,Brussel Airport Bombing
tweetenzuigiri  Gleoite Monster ,1,Random Samples
#SMU #UTSAAlum ???. ALMIGHTY ADL. 3rd Year Law Student. Southern Methodist University School of Law.,1,Brussel Airport Bombing
psalms 1398 no I aint a playa I just play it by the bull shit garfieldgang,1,Random Samples
"If you obey all the rules, you miss all the fun. - Katharine Hepburn",1,Quebec Mosque Shooting
