description,is_gen_pub,source
Bearded Yorkshire kid that may spoil popular TV shows  #pubpoker #redsox #lufc #vinyladdict #kidrobot #newera #webdesign #photography #jager #teamDrunj,1,Bostong Marathon Bombing
Official page for #THV11,0,Bostong Marathon Bombing
I speak 7 languages. Colombian-American,1,Bostong Marathon Bombing
News junkie with an appetite for travel. Arizona Wildcat for life. Sartorial and culinary explorer. Gold medal-worthy basketball and tennis spectator.,1,Bostong Marathon Bombing
Illustrator for The New York Times,0,Bostong Marathon Bombing
The official account of your flagship station for New York sports -- WFAN 660 AM-101.9 FM.,0,Bostong Marathon Bombing
NYC -,1,Bostong Marathon Bombing
#NHLBruins fan  triathlete  motorcyclist,1,Bostong Marathon Bombing
Live,1,Bostong Marathon Bombing
director / producer,1,Bostong Marathon Bombing
Blogger Free Press International (BFPI) St. Louis Missouri,0,Bostong Marathon Bombing
An authentic,1,Bostong Marathon Bombing
@TheWeeklyReview social media editor,0,Bostong Marathon Bombing
Son,1,Bostong Marathon Bombing
Feminist. Geek. Left-handed. Liberal. Arts lover. INTJ. Deeply affectionate for scifi (film/tv,1,Bostong Marathon Bombing
Stay informed with fresh headline news and reports for New Hampshire delivered into your twitter.,0,Bostong Marathon Bombing
WXYZ 7 Action News is Detroit's breaking news and weather leader. Channel 7 - on-air,0,Bostong Marathon Bombing
K-State Alum. Fee-Only Financial Planner. Active. Champagne. Kansas City. I'm dancing on my own. I make the moves up as I go. @thefoodiekc is my alter ego.,1,Bostong Marathon Bombing
Wedding photographer,1,Bostong Marathon Bombing
MD. PhD. CEO & Co-founder of @digidoctech. Shaping the future of asthma follow-up with @asthmawhistle. @KimuraEgersund brown belt.,1,Bostong Marathon Bombing
I'm MJ. From Miami to NYC,1,Bostong Marathon Bombing
Egyptian American,1,Bostong Marathon Bombing
I'm a librarian working in the book industry. I read a lot of kids' books and listen to local music.  Also: congenital amputee.,1,Bostong Marathon Bombing
Digital marketer. Dir of Fan Relations @jgerhardtfan. faith / coffee / wine / blogger / amateur photog / proud #McCreerian,1,Bostong Marathon Bombing
I think the world needs far more supporters than critics. I like dogs more than people. I run to challenge myself,1,Bostong Marathon Bombing
KQED Education provides #teachers with great free resources and tools to help create a 21st century classroom. Host of #DoNow activity.,0,Bostong Marathon Bombing
CMO @untapt*Prof @SyracuseU* @Forbes* @women2* @FletcherSchool @EmoryGoizueta @UofR grad *startups*tech*fintech* women in them *hilariousness*craftbrew & bubbly,1,Bostong Marathon Bombing
News junkie. Senior Editor for #SCNG. Mother of three  music lover & foodie... Reside in @UnionPointMA Tweets are IMO,0,Bostong Marathon Bombing
KIRO 7 reporter,0,Bostong Marathon Bombing
@RunJanji Corps Member | I Run For Another @NuunHydration Nuunbassador @HoneyStinger Ambassador,1,Bostong Marathon Bombing
We're all pretty bizarre. Some of us are just better at hiding it,1,Bostong Marathon Bombing
Director BforB International The Referral Organization of Choice,0,Bostong Marathon Bombing
Satin Russell always wanted to be an author. On her 36th birthday,1,Bostong Marathon Bombing
http is the official running site for the greater Twin Cities area -  Minneapolis and St. Paul.,0,Bostong Marathon Bombing
I love cheese and Dallas is a close second. These thoughts are my own.,1,Bostong Marathon Bombing
#SAFE,0,Bostong Marathon Bombing
Skilled,1,Bostong Marathon Bombing
All good things are wild & free,1,Bostong Marathon Bombing
President of @DisruptiveTruth | Keynote Speaker |  Author of 8 books including the @WSJ best-seller @IAmSecond,0,Bostong Marathon Bombing
A leading source of global news and information for more than 75 years.,0,Bostong Marathon Bombing
I try to be informative and funny. I try.,1,Bostong Marathon Bombing
Need to work harder.,1,Bostong Marathon Bombing
Tech and sports nut.  project manager. tweeting IT,1,Bostong Marathon Bombing
Media Trainer and Entrepreneur second. Trying everyday to be better.,1,Bostong Marathon Bombing
filmmaker - producer - screenwriter @buzzmediadotnet,0,Bostong Marathon Bombing
social contagionista. blogdiva extraordinaire. criminally prolific afroboricua twittinfluencer. shmears gossip,1,Bostong Marathon Bombing
you can never be overdressed or overeducated.,1,Bostong Marathon Bombing
IngenierÌ_a student in Sound and Image TelecomunicaciÌ_n in UEX,1,Bostong Marathon Bombing
"Red Head @jeune_afrique (web). ¢ ti te new tools #presse. ESJ Pro trainer. Inti © ri ""t for africa # and # asiecentrale. And also the #photography",1,Bostong Marathon Bombing
@HydroOne's Senior Editorial Writer,0,Bostong Marathon Bombing
Public speaker,1,Bostong Marathon Bombing
pro internet surfer. i enjoy your funny stories,1,Bostong Marathon Bombing
Boston,0,Bostong Marathon Bombing
physically in Orlando,1,Bostong Marathon Bombing
Just a country boy stickin to his roots like the mud on his boots.. Nothing Is Impossible.. #grizzlyarmy #grizzlyapparel Follow me on Instagram (ProGrizzly) 2817 Loving life at projekt202. I'm a Husband  Dad  2 x Ironman  Boston Marathoner  USAT & Ironman,1,Bostong Marathon Bombing
Global Village Member,1,Bostong Marathon Bombing
Aussie in London. Mum-to-be. Freelance journo. Heavy metal,1,Bostong Marathon Bombing
Social Media + Public Relations Coordinator @MountainViewPD | Past life: @mercnews @EastBayTimes @lodinews @sfchronicle | @Cal alum | coffee can-do attitude,0,Bostong Marathon Bombing
Health reporter and columnist for The Globe and Mail. Public speaker with National Speakers Bureau @NSB_Speakers,0,Bostong Marathon Bombing
bikes,1,Bostong Marathon Bombing
UN Bureau Chief: SABCNEWS These are my personal views. Retweets are not an endorsement but I likely find content interesting,0,Bostong Marathon Bombing
#Sacramento's Official At-Work Station! @MarriedMornings,0,Bostong Marathon Bombing
I am a semi retired italian male born in Italy. I have lived in UK since I was  4 years old I am now 61 years old . I live in Swindon Wiltshire England,1,Bostong Marathon Bombing
Psychology Student and no I can't analyze you.......yet,1,Bostong Marathon Bombing
concours  insolites  aubaines  humour  rÌ©flexions personnelles  TDAH,1,Bostong Marathon Bombing
Anchor/Reporter/News Guy | NBC Tulsa | Texan | @TAMU Aggie | @NAHJ | Snapchat/Insta: StevenRomoTV | http,0,Bostong Marathon Bombing
Songwriter - Artist - Publishing Coordinator for Simply Grand Music  wife  #food enthusiast  conversationalist  night owl  seeker of beauty in the ordinary,1,Bostong Marathon Bombing
RTs are not endorsements.  awaits the coming revolution.,1,Bostong Marathon Bombing
A human being on fire for justice and love in this crazy world.,1,Bostong Marathon Bombing
Architectural Grad student at CCA,1,Bostong Marathon Bombing
UX guy,1,Bostong Marathon Bombing
Every government is run by liars and nothing they say should be believed. -- I. F. Stone Grandmother Wife.~DAR~Mayflower descendant~pro-life~,1,Bostong Marathon Bombing
Mystickah. USN Vet. ERAU Grad. Geek. Gamer. Robot Girl. @NASAJuno Social alum.I do cool things w/ @ExtraLifeJax @RenaissanceJax @MOSHElements @jaxpbj #JaxLGBT.,1,Bostong Marathon Bombing
Rapper/Producer/Leftist |,1,Bostong Marathon Bombing
WESH 2 news reporter,0,Bostong Marathon Bombing
I watch a lot of TV,1,Bostong Marathon Bombing
Palindrome (n) A word,1,Bostong Marathon Bombing
Affiliations: @guitarcenter @RTE_Studios @bexargreens @oxymoronsimprov,1,Bostong Marathon Bombing
I drink too much Pepsi Max,1,Bostong Marathon Bombing
Dutch  traveler  #astronomy  developer  @orangutanpals  my journey in life - #Nederlands #FranÌ¤ais #EspaÌ±ol,1,Bostong Marathon Bombing
Guest Anchor at Yahoo News. Host of Ethics Matter @carnegiecouncil. Formerly Al Jazeera America and ABC News.,0,Bostong Marathon Bombing
trance family // universe // stardust // food // techno // science Ï¬ ªÈü _Ñ  has a liberal bias.  Now  where's my cocktail shaker?,1,Bostong Marathon Bombing
God is my pilot. Chuck Norris my wingman. Josey Wales my tailgunner. Ted Nugent my bombardier. Lock and Load...Target in sight.....,1,Bostong Marathon Bombing
Born with wings & going from the local to the global in 140 words.,1,Bostong Marathon Bombing
Law Student and lover of politics,1,Bostong Marathon Bombing
Be the Change you wish to see in the world,1,Bostong Marathon Bombing
Singer/songwriter Va/Ca/Wa,1,Bostong Marathon Bombing
Unrepentant night owl. Obscene consumer of tv  was president of the International Association of Political Consultants & American League of Lobbyists  Washington.,1,Bostong Marathon Bombing
Join WeSpeakNews and become a citizen journalist today. [ #WSN - #CitizenJournalism ]   http  http  social media  digital and direct marketing.,0,Bostong Marathon Bombing
