description,is_gen_pub,source
Junior majoring in journalism at the University of Illinois at Urbana-Champaign | Eating my way through Europe for the semester http,1,Brussel Airport Bombing
"Football,  ?#MCFC? Aerospace Engineering, Freelance Writer,  RR at @iyaat_org Ambassador @milkywayyouth.
I work for people. 
#StillSanders",0,Brussel Airport Bombing
"16-year-old Student, Musician, Gamer. Sophomore @ MTHS. Marching Band!  @MZulmara is my princess ?",1,Brussel Airport Bombing
What's hot and what's not!,1,Brussel Airport Bombing
"Real Estate Professionals located in Myrtle Beach, SC.",0,Brussel Airport Bombing
"Tech Writer, web designer, tools, inbound marketing, Liberal Democrat! Two beautiful kids, one autistic. RTs do not eq endorsement",1,Brussel Airport Bombing
"Research Analyst for Phoenix @MayorStanton | @NYUWagner Research Associate | @CMCnews, @RoseInstitute, and PPE alumnus | team @titleist | tweets are mine",0,Brussel Airport Bombing
Pro Liberty Conservative Christian Homeschooler aiding others with technology to win over our fellow countrymen.,1,Brussel Airport Bombing
#UNT18,0,Brussel Airport Bombing
"We're the adblocker with a purpose. Never see an ad you don't want, and when you do, you'll raise money for charity. Now in public beta on Chrome!",0,Brussel Airport Bombing
"Coder, Gamer, Photographer, Musician, Movies Lead for Google Photos on iOS. Opinions are my own.",1,Brussel Airport Bombing
You are the light of the world.  A city on a hill can not be hid.' (Mat 5:12)  -  #NavyVet #TCOT #CruzCrew #TedCruz2016,1,Brussel Airport Bombing
"Local New York City News and USA updates from A - Z, that's what you get from us.",0,Brussel Airport Bombing
"Movie Producer, Jazz and Neo Soul Music Lover, Artist,  Vegan, Activist, Educator, Love Christ, Proud Supporter of  President and First Lady Obama",1,Brussel Airport Bombing
#Amnesty-MIT #Human_Rights  #WFP  ~Good Thoughts ~Good Words ~Good Deeds #Palestine #Syria #Iraq #Venezuela   ??? ????? ?? ???? ???????  ???????,1,Brussel Airport Bombing
"Jazz and Anarchy. And conversely.
RT ? Endorsements",1,Brussel Airport Bombing
Natural Born American from Founding & Pioneering Stock  trying to make some sense from it all. Tweet's & RT's may not be an endorsement.,1,Brussel Airport Bombing
Activist. Free Mind. Co-founder Industry Ears. Social market-er. HIV/AIDS Advocate. Indy Voter. Hip Hop. Black. White. Spook Who Sat By the Door.,1,Brussel Airport Bombing
Brookhaven Patch is your source for local news.,0,Brussel Airport Bombing
unapologetic pro-black intersectional feminist. Jesus. Congolese. YouTuber. #blacklivesmatter insta/sc: dorky_dorcas,1,Brussel Airport Bombing
You're allowed to be selfish in your 20's.,1,Brussel Airport Bombing
"Political news, campaign stories and Washington coverage from CNN's political team.",0,Brussel Airport Bombing
#SHSUAlum #LGBTQ Advocate #SecurityOfficer #FutureSecuritySpecialist #Psalms 23:4 & Whisper Words Of Wisdom Let It Be.,1,Brussel Airport Bombing
"If you hate Bacon, you hate me.....USMC 3/2 MOS 0331, other Marines were jealous, my Kill Zone was always Bigger.....Get Some.. TEXAS",1,Brussel Airport Bombing
"Horologist, Watchmaker, Jeweler. Conservative Business Owner Antique Time. Specialist in American Pocket Watches and Rolex Watches. Call Toll FREE 888-765-3901.",1,Brussel Airport Bombing
A support group ministry for single and pregnant girls - Start an Embrace Grace group at your home church!,0,Brussel Airport Bombing
"I'm a mother, artist, therapist, writer, and musician. I  love all, live my life with no regrets, and my soul is  with optimism.",1,Brussel Airport Bombing
"Mother of 2, child of God, Avett fan, Work in Progress",1,Brussel Airport Bombing
"relax, it's satire",1,Brussel Airport Bombing
Conservative; libertarian leaning. Adoptive parent. Constitutionalist. Individual freedom. Capitalism created most wealth. Socialism murdered millions,1,Brussel Airport Bombing
"Love techie stuff, seismology & photography. Post what I read. Diet Coke addict probably need support group! #CHRISTIAN #TCOT  #TEAPARTY #NRA #2A #CONSTITUTION",1,Brussel Airport Bombing
Miss SA Belleza Latina'16??,1,Brussel Airport Bombing
bo·re·al·is,1,Brussel Airport Bombing
"Fun lovein red-neck woman. Loves campin, fishin,4x4's,etc.  FYI.. IM VOTING TRUMP.",1,Brussel Airport Bombing
"my parents met on twitter   
instagram: @ayeesuzanne",1,Brussel Airport Bombing
"Marine VietNam PH Combat Vet **65 *66* SEMPER FI til I DIE Be polite, be professional, but have a plan to kill everybody you meet. - Gen. James Mad Dog Mattis",1,Brussel Airport Bombing
"American nationalist. Free speech activist. As seen in The New York Times, The Daily Beast, The New Republic, and The Scottish Sun.",1,Brussel Airport Bombing
And Satan ascended from the bowls of the earth Orange in face false in hair and took the name Trump his only goal to destroy the world through hate and spite.,1,Brussel Airport Bombing
The world is always longing for men of integrity.,1,Brussel Airport Bombing
"28 | Russian | Love Fashion, Cooking, Tweeting |",1,Brussel Airport Bombing
"Produced by the International Peace Institute (@ipinst), the Global Observatory provides timely analysis on trends and issues related to global security.",0,Brussel Airport Bombing
"The Twitter Account of Press Counsellor Office, Permanent Mission of Turkey to the United Nations,
RTs, links & follows not endorsement",0,Brussel Airport Bombing
"Mom of 5. Likes politics, movies, reality TV, reading and family time. Working hard & enjoying the life God  blessed me with. Conservative:)",1,Brussel Airport Bombing
USN ('65-'87),1,Brussel Airport Bombing
Sports. Pizza. Travel.,1,Brussel Airport Bombing
"University of Texas Austin alumi, Dallas Cowboy fan *Don't take my tweets personal. I love my teams! Blocks are free and swift. I will cut you.",1,Brussel Airport Bombing
