description,is_gen_pub,source
Political correspondent at Newsweek based in DC. Northern Californian at heart. Usual caveats.,1,Quebec Mosque Shooting
Exploring the impact of spirituality on authentic health. Media and government relations rep for Christian Science in New Mexico.,1,Quebec Mosque Shooting
just an average working class guy. I stand with justice and truth. #TheResistance,1,Quebec Mosque Shooting
"Do something today, that your future self will be thankful for.",1,Quebec Mosque Shooting
Feminist. Proud liberal. Pro-love. Colin Morgan fan. Book lover. History geek. Cat person. Chocolate eater. Apparently a snowflake. #TheResistance #ImpeachTrump,1,Quebec Mosque Shooting
"I\'m a gamer and an avid book reader. I love all things anime, manga, and vampires. Big nerd and a bit of a geek, also a Harry Potter fanatic!",1,Quebec Mosque Shooting
unbotheredt,1,Quebec Mosque Shooting
everybody hates criss // ig: crissboyd,1,Quebec Mosque Shooting
"Leaf Fan - (Bleeds Blue & White), Jay Fan - Spit Fan  There are no shoot-outs in REAL hockey.",1,Quebec Mosque Shooting
Progressive.   Chicano. I block all deplorables. #TheResistance #NoDAPL #NoBanNoWall #NotMyPresident,1,Quebec Mosque Shooting
"Author. History nerd. Music enthusiast. Obsessed with books, films, & television shows. #RenewTheExorcist Author acct: @jessiethomas520",1,Quebec Mosque Shooting
Actor/Comedian/Funboy. Shows Up on #Conan. Co-Host of the #TeamTigerAwesomeShow Podcast Friends with the @TheRock. 3rd Best Houston Astros fan.,1,Quebec Mosque Shooting
This is not normal.,1,Quebec Mosque Shooting
Repping the 301 .... I am whatever you say I am,1,Quebec Mosque Shooting
"Teaching, reading, watching, and writing in the middle of America. Community college instructor (comp, journalism, literature) and freelance writer.",0,Quebec Mosque Shooting
"ADD-addled lover of horses, racing, eventing, photography, Bowie & liberals. Left corporate world to do some dream-chasing. Also Loves Purple. And dogs & Horses",1,Quebec Mosque Shooting
"Houstonian! Also a sports fanatic! I\'m a huge Houston Dynamo, Astros, Rockets, Dash, UH, U.S. Men\'s National Team, Borussia Dortmund, & Dallas Cowboys fan. :)",1,Quebec Mosque Shooting
Trump Is Not My President! RWNJ get BLOCKED!!,1,Quebec Mosque Shooting
I am just here for the view & to chirp sometimes. I watch hockey & comment.,1,Quebec Mosque Shooting
"#MomOfTwoKitties #Progressive 
 #EqualRightsForALL #StandWithWomen #HomefrontHugs #Newtown
 #SandyHookAngels #EnlightenedHuman #SpiritualNotReligious",0,Quebec Mosque Shooting
"Detroit, Drexel, Babson, Ethereum.",1,Quebec Mosque Shooting
DUBNATION,1,Quebec Mosque Shooting
Former PLO Terrorist whom now speaks out for USA and Israel,1,Quebec Mosque Shooting
"I write about criminal justice, race, & the drug war for Cato. Sports sprinkled in for my own amusement. Policy over politics & dogma.",1,Quebec Mosque Shooting
"Reporter at the Wall Street Journal, covering ETFs and market structure. RTs aren't endorsements.",0,Quebec Mosque Shooting
Waluigi enthusiast. Bills/Sabres fan. #AlternativeFacts,1,Quebec Mosque Shooting
"Graduate of @EmersonCollege. Volunteer with @nhteeninstitute and @osia_ma. News and data nerd, tv enthusiast.",1,Quebec Mosque Shooting
"I\'m Brian Doyle (AKA TheMasterDS) software engineer. I like video games (esp Rare, Mario Maker & Heroes of the Storm) and other stuff.",1,Quebec Mosque Shooting
Musician.,1,Quebec Mosque Shooting
STARTING over so I can honestly say I\'m a work in progress! MUSIC makes me happy! PROUD 2 call Marylou my SISTER! HATERS 2 THE LEFT . . . #TheResistance,1,Quebec Mosque Shooting
The @womensmediacntr's SheSource - the resource for journalists looking for media experienced women experts on all topics,0,Quebec Mosque Shooting
Nothing to see here. _ô_¥äó_ôë,1,Quebec Mosque Shooting
Dictators ride to and fro upon tigers which they dare not dismount. And the tigers are getting hungry. Churchill,1,Quebec Mosque Shooting
See the chameleon // Lying there in the sun //  All things to everyone // Run run away,1,Quebec Mosque Shooting
"Kelly is a Christian, husband, father, student, and software designer.",1,Quebec Mosque Shooting
"I write articles on hoops here & there. Good food, Lakers basketball & Gucci Mane\'s mixtapes keep me going",0,Quebec Mosque Shooting
"like a rock..beautiful, weathered, cleaved, strong, not going anywhere soon #theResistance #noDaPl #resist #noBanNoWall #ScienceMarch",1,Quebec Mosque Shooting
"I am always annoyed _ôÖÍ. Tea enthusiast, movie fanatic, foodie & #socialmedia addict. Web & Digital Marketing Manager. I eat a lot äìë¥. #NeverTrump #SocialJustice",1,Quebec Mosque Shooting
"Mother, educator, proud 80s baby, prolific reader, Bronx native, SC resident, Trump resister.",1,Quebec Mosque Shooting
Home schooling children,1,Quebec Mosque Shooting
Currently I\'m training squirrels to do my evil bidding after realizing that chipmunks lack the proper stamina to do the job right.,1,Quebec Mosque Shooting
