description,is_gen_pub,source
instagram    danamarie,1,Random Samples
D,1,Random Samples
travelling through Middle Earth in an Impala with The Doctor  Merlin while solving crimes 58 Hufflepuff books food movieseries  my life Spoilers,1,Random Samples
MAGA ChristianIgnostic I dont claim to understand God But John 133435 is a starting point for those that believe in a better future for our children,1,Random Samples
justin bieber  my world end of,1,Random Samples
Marketing Manager love of adventure Mongol Rally 2016 the outdoors cycling triathlon home brewing GMCC Mem Sec,1,Random Samples
no lo s© todav_a,1,Random Samples
rollin with the riff raff,1,Random Samples
"Never Say Never
Just do it
Swiftie Harmonizer Selenator Arianator Forever",1,Random Samples
I wash my pettiness down with whiskey   NativeGoddess DirectorProducer ChakraZulu Warrior ,1,Random Samples
Management Consultant in Retail transitioning into tech and finance startups  When not being a nerd Im a headbanging beer drinking liberal iconoclast,1,Random Samples
Sports news and scores from The Danville AdvocateMessenger Managed by JSchneiderAMN and MOvering,0,Random Samples
Big fan of the NCIS Hawaii 50 The Originals The Blacklist Elementary and writer of fan fic I  Damie,1,Random Samples
64 yo  Retired And real tired,1,Random Samples
Freelance Designer ,1,Random Samples
iOS developer Coastal liberal from NY to SF I believe in science Resist NeverTrump ITMFA,1,Random Samples
Snap samvince94,1,Random Samples
  I believe the answer to that question like the    answer to most questions is fuck you         Lip Gallagher,1,Random Samples
I am learning all the time The tombstone will be my diplomaKittartistfeministproblackproheauxGPG,1,Random Samples
µ_ïÀ_  EPILOGUEinBKK THEWINGSTOURinBangkokI learned to love you äÛ  HUHUHUHU HUUUHU DNA,1,Random Samples
"Zombie hunter but all my kills turn out to be crack heads
Podcaster with DudeImagineIf3 
PodernFamily
I like to live tweet movies and WWE",1,Random Samples
Follow us for relatable words and quotes,0,Random Samples
antiestablishment commonsense politics power to the people,1,Random Samples
IG  ludivinemlt,1,Random Samples
inconsequential ,1,Random Samples
lifes a garden dig it looking for Bigfoot rock music my pool,0,Random Samples
Dj Youngin The Name Im Just here So I Dont Get Fined Thats All Producer Beatmaker CookieCrumbler FlRell,1,Random Samples
i hate myself but its alright I guess  ,1,Random Samples
I luv MKJ,1,Random Samples
mediocre trash obsessed with bands standards higher than the empire stateLLL MNL 062417 ATLxAII 082217,1,Random Samples
Extra gay with a side of tired,1,Random Samples
Only music,1,Random Samples
"I may be getting older but I refuse to grow up 

BBN RedSoxNation BWG SAFTB VivaLeStool Rapapack",1,Random Samples
Latino  poet  SATX  3rd year MAMFA student OLLU   CoConspirator with bx3poetryspot,1,Random Samples
giraffes maroon 5 food family KC 15 Psychology,1,Random Samples
im def not ok,1,Random Samples
MAGA TrumpArmyGay Christian Conservative  RTs not endorsements opinions my own,1,Random Samples
21 Texas State University Future Educator you can always find me where the skies are blue ,1,Random Samples
bagels,1,Random Samples
DirectionerMixerHarmonizer Dark Larrie  5SOSfam,1,Random Samples
GodFearing 1913,1,Random Samples
dark come soon,1,Random Samples
I am in charge of how I feel and TODAY I am choosing HAPPINESS SOLID ALDUB,1,Random Samples
Im an AfricanAmerican female writer inventor blogger author selfagent selfmanager selfpublisher All Rights Reserved  IGNORE DIRECT MESSAGES,1,Random Samples
TV Producer Journalist  Writer,0,Random Samples
Disabled combat veteran HuskerNation TheResistance,1,Random Samples
Real Madrid Club De Fí_tbol ,0,Random Samples
lost lil angel ,1,Random Samples
Collection of Twitters best tweets Parody account We dont claim ownership to any posts,0,Random Samples
B Arts is a charity based in North Staffordshire that aims to sustain and develop individuals groups and communities through their participation in the arts,0,Random Samples
STPI Chennai,0,Random Samples
"Read the past understand the futureNo titles yet coming soon
kizomba dancer 


Jan 12",1,Random Samples
"Releasing my inner brat

RTs do not equal endorsements",1,Random Samples
Busy Making Swishes,1,Random Samples
Horse Racing Tips,1,Random Samples
Giving you most authentic news from India with twist of humourTimely alerting you from Hate Mongers of India,1,Random Samples
19hopeless romantic,1,Random Samples
Everything I Touch Turns into pure Gold My favorite time of a day is just a minute ago AgronomistPrincipal of MAMRE agriclivestock Collegearsenal is life,1,Random Samples
Computer Analyst  IT Management I hack things Im more powerful than youll ever know Professional Pervert Im kidding lol,1,Random Samples
Panthers Yankees Suns TarHeels Longhorns NYCFC,1,Random Samples
Promoting Tech ideas from worldwide sellers Updated every few minutes Apple Microsoft Samsung Google Tech Computers Tablets,0,Random Samples
RyeU,1,Random Samples
18  FilM KiD  JerZy  MSU 21  Change the ,1,Random Samples
